retailer,observed_at,product_url,product_name,price_raw,brand_raw,origin_raw,category_raw,parent_category_raw,unit_raw,sold_count_raw,last_week_sold_raw
WEEE,2026-08-31,https://www.weee.com/en/product/-Arencia-Vitamin-C-Booster-Shot-30ml/3071344?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3071344&checkZip=true,"[Arencia] Vitamin C Booster Shot, 30ml 30 ml","$
24
00",,South Korea,Moisturizer \u0026 Sunscreen,Personal care,30 ml,,
WEEE,2026-08-31,https://www.weee.com/en/product/-Bamboo-Bebe-Signature-Baby-Gauze-Handkerchie/3073551?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3073551&checkZip=true,[Bamboo Bebe] Signature Baby Gauze Handkerchie 1 pack,"$
32
00",,South Korea,Baby,Personal care,1 pack,,
WEEE,2026-08-31,https://www.weee.com/en/product/100-Korean-Spicy-Marinated-Crab/114374?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-114374&checkZip=true,100% Korean Spicy Marinated Crab 450 g,"$
13
49
$0.85/oz",Shop more from Haedam Seafood,South Korea,Meals \u0026 Entrees,Frozen,450 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/ASSI-Seaweed-Noodles/105383?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-105383&checkZip=true,ASSI Seaweed Noodles 2.2 lb,"$
6
29
$0.18/oz",Shop more from Assi,South Korea,Noodles \u0026 Wraps,Tofu \u0026 Vegan,2.2 lb,,
WEEE,2026-08-31,https://www.weee.com/en/product/Ai-Delicious-Soft-Tofu-White-Kimchi-Stew/3073138?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3073138&checkZip=true,Ai Delicious - Soft Tofu White Kimchi Stew 200 g,"$
11
99
$1.70/oz",,South Korea,Instant Hot Pot \u0026 Meals,Instant,200 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Bongpyeongchon-Buckwheat-Noodles/3073525?utm_source=seo-main-storefront&utm_campaign=new-arrivals&utm_content=product-3073525&checkZip=true,Bongpyeongchon Buckwheat Noodles 420 g*3 pack,"$
26
00
$0.58/oz",,South Korea,Noodles \u0026 Rice Noodles,Dry Goods,420 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Boy-Bawang-Cornick--Adobo-Flavor/3525?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-3525&checkZip=true,"Boy Bawang Cornick, Adobo Flavor 90 g","$
1
29
$0.41/oz",Shop more from Boy Bawang,Philippines,Nuts \u0026 Seeds,Snacks,90 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Boy-Bawang-Cornick--BBQ-Flavor/3524?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-3524&checkZip=true,"Boy Bawang Cornick, BBQ Flavor 90 g","$
1
29
$0.41/oz",Shop more from Boy Bawang,Philippines,Nuts \u0026 Seeds,Snacks,90 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/Boy-Bawang-Cornick--Garlic-Flavor/3526?utm_source=seo-main-storefront&utm_campaign=top-products-for-korean-store&utm_content=product-3526&checkZip=true,"Boy Bawang Cornick, Garlic Flavor 90 g","$
1
29
/ea for 3 or more
$1.79/ea",Shop more from Boy Bawang,Philippines,Nuts \u0026 Seeds,Snacks,90 g,,
WEEE,2026-08-31,https://www.weee.com/en/product/CJ-Foods-Gochujang-Hot-Pepper-Paste--Mild-Flavor/27707?utm_source=seo-main-storefront&utm_campaign=trending-near-you&utm_content=product-27707&checkZip=true,"CJ Foods Gochujang Hot Pepper Paste, Mild Flavor 1000 g","$
8
99
$0.25/oz",Shop more from CJ,South Korea,Hot Sauce,Seasoning,1000 g,,
